ticker,quantity,avg_cost,target_weight
NVDA,15.73712,165.17,0.16
MSFT,2.729608,358.96,0.12
SMH,2.242794,362.53,0.08
XLE,23.390736,61.96,0.12
LMT,1.766076,598.57,0.06
ITA,3.42559,210.79,0.06
SPY,3.16439,631.97,0.20
VXUS,24.78334,80.70,0.20
