escenario,obs_diarias_pool,retorno_p5,retorno_mediana,retorno_p95,prob_positivo,max_drawdown_mediano
alcista,908,0.3251751353636337,0.6785558808000418,1.127053459558367,0.9998666666666667,-0.061062702055082574
base,1621,-0.16412548588238787,0.23744043450987262,0.8019478995610965,0.8166,-0.1696160375958216
bajista,508,-0.5886259315313921,-0.24946619042481855,0.34752173091892663,0.20613333333333334,-0.4066363381197187
