portfolio,scenario,obs_pool,ret_p5,ret_med,ret_p95,prob_pos,mdd_med,mdd_p95_worst
A_propuesta_LLY,alcista,907,0.37017621245507776,0.7226249210505152,1.1616092420988915,1.0,-0.05673742531867437,-0.09663538573985936
A_propuesta_LLY,base,1624,-0.15596579633470664,0.23380339932070926,0.8062435679826165,0.8212,-0.16682667929500533,-0.3145460079451283
A_propuesta_LLY,bajista,512,-0.5791009154022209,-0.24750548028893982,0.3357164944790165,0.20785,-0.4016824306196324,-0.626684738704273
B_sin_LLY_cash7,alcista,907,0.3185490995090845,0.6394427846162362,1.0353946132570067,0.9999,-0.05686075742228219,-0.09737050858143881
B_sin_LLY_cash7,base,1624,-0.16874918291491683,0.2093299813803291,0.7542974390940624,0.80125,-0.16327681384982545,-0.31132020207224875
B_sin_LLY_cash7,bajista,512,-0.5699682152942269,-0.24485749581444677,0.3178619379274596,0.2058,-0.39245922300960234,-0.6166557740813156
C_agresiva_tematica,alcista,907,0.3641783631398496,0.7563625697642629,1.2553760709834498,0.99985,-0.06531288328891732,-0.11225899858678072
C_agresiva_tematica,base,1624,-0.17969564425031875,0.24767750980830017,0.8843804470932857,0.80985,-0.1797684770194295,-0.3374483931614214
C_agresiva_tematica,bajista,512,-0.6051966812560907,-0.2632186864934076,0.36615091213503964,0.209,-0.42312214509572965,-0.651475700227488
D_defensiva_indexada,alcista,907,0.3405600468814973,0.6468080789636484,1.0300689411052373,1.0,-0.05158551539002593,-0.08801826070838836
D_defensiva_indexada,base,1624,-0.1648102518853315,0.21024897886322091,0.7337000707525785,0.8047,-0.15912042138883775,-0.3038025295214803
D_defensiva_indexada,bajista,512,-0.562102576690279,-0.24444263867283367,0.30970560900431077,0.203,-0.38989137446615,-0.6097877178266055
