ticker,date,close,sma50,sma200,mom63,dd_1y,ath,ath_date,dist_ath,vol252
AMZN,2026-04-06,212.6999969482422,214.5652001953125,224.53900009155274,-0.06092716579142521,-0.1625984372116449,254.0,2025-11-03,-0.1625984372116449,0.3489857727925519
AXP,2026-04-06,302.82000732421875,324.12780029296874,335.37895095825195,-0.1875620465256116,-0.21322976486979617,384.8900146484375,2025-12-11,-0.21322976486979617,0.32552919356952825
CELH,2026-04-06,35.029998779296875,45.203799896240234,49.624050006866455,-0.26638746011943715,-0.4599136840941359,96.11000061035156,2024-03-13,-0.6355218129556025,0.5480494382474129
ELF,2026-04-06,62.755001068115234,78.88150009155274,101.64172538757325,-0.1934840889712348,-0.5721347115868277,218.0,2024-06-27,-0.7121330226233247,0.7364910286091902
EXPE,2026-04-06,225.80999755859375,232.2469989013672,228.31069984436036,-0.20191561599580987,-0.25057250211326965,301.30999755859375,2026-01-08,-0.25057250211326965,0.5034490177116399
ITA,2026-04-06,223.8249969482422,233.24349975585938,212.05562477111818,0.008175318617695604,-0.10677230699699325,250.5800018310547,2026-03-02,-0.10677230699699325,0.2334584987147354
LMT,2026-04-06,625.719970703125,635.1056030273437,514.0937515258789,0.25881658817324915,-0.07533625030925706,676.7000122070312,2026-03-02,-0.07533625030925706,0.26817871150758216
MSFT,2026-04-06,371.8299865722656,402.02039916992186,476.38399948120116,-0.21379036526238315,-0.3140554143408464,542.0700073242188,2025-10-28,-0.3140554143408464,0.26368154013183426
NKE,2026-04-06,43.77000045776367,58.45580001831055,66.40254987716675,-0.3083122423813357,-0.44762744021001055,107.18000030517578,2024-02-12,-0.5916215680804584,0.43910174050458517
NVDA,2026-04-06,176.67999267578125,182.4877993774414,179.9805002593994,-0.06444274839505981,-0.1466383384604999,207.0399932861328,2025-10-29,-0.1466383384604999,0.4132570037504964
SMH,2026-04-06,393.7900085449219,398.8979998779297,344.84404983520506,0.05488888674520087,-0.07595737478651987,426.1600036621094,2026-02-25,-0.07595737478651987,0.3680061462779084
SPY,2026-04-06,657.1904907226562,675.81880859375,662.873901977539,-0.038027859591888036,-0.0550683691347047,695.489990234375,2026-01-27,-0.0550683691347047,0.19026136349215436
VXUS,2026-04-06,77.7300033569336,79.68899993896484,74.70874992370605,0.0155474578935475,-0.07684078177919296,84.19999694824219,2026-02-25,-0.07684078177919296,0.17321852800415657
XLE,2026-04-06,59.084999084472656,55.819499740600584,47.227224845886234,0.29430442737175966,-0.05554671055844884,62.560001373291016,2026-03-27,-0.05554671055844884,0.2523852469887375
^VIX,2026-04-06,24.1200008392334,22.009400177001954,18.120550045967104,0.6623018924026665,-0.5390789223148921,52.33000183105469,2025-04-08,-0.5390789223148921,1.4280782765540805
